year,mileage,engineSize,transmission,model,fuelType,price
2020,1200,2,Automatic, C Class,Diesel,30495
2020,1000,1.5,Automatic, C Class,Petrol,29989
2020,500,2,Automatic, C Class,Diesel,37899
2019,5000,2,Automatic, C Class,Diesel,30399
2019,4500,2,Automatic, C Class,Diesel,29899
2020,1000,2,Automatic, C Class,Diesel,30999
2020,500,2,Automatic, C Class,Diesel,35999
2019,1412,3,Automatic, C Class,Petrol,37990
2019,3569,2,Automatic, C Class,Diesel,28990
2019,3635,2,Automatic, C Class,Diesel,28990
2013,44900,1.6,Automatic, C Class,Petrol,9995
2012,88200,2.1,Automatic, C Class,Diesel,6995
2012,115000,2.1,Automatic, C Class,Diesel,7495
2011,69250,2.1,Automatic, C Class,Diesel,8995
2015,49850,2.1,Automatic, C Class,Diesel,14995
2013,82685,2.1,Automatic, C Class,Diesel,8595
2016,32506,2.1,Semi-Auto, C Class,Diesel,19250
2017,17000,2.1,Semi-Auto, C Class,Diesel,23500
2018,17744,2,Semi-Auto, C Class,Diesel,24995
2016,64291,4,Semi-Auto, C Class,Petrol,29995
2014,41011,2,Automatic, C Class,Petrol,17990
2016,72000,1.6,Automatic, C Class,Diesel,14477
2013,72000,2.1,Automatic, C Class,Diesel,10977
2016,40000,1.6,Automatic, C Class,Diesel,17977
2015,52000,2.1,Automatic, C Class,Diesel,12790
2017,66472,2.1,Automatic, C Class,Diesel,14488
2011,91000,2.1,Manual, C Class,Diesel,7500
2013,69700,2.1,Automatic, C Class,Diesel,9750
2015,39000,1.6,Automatic, C Class,Diesel,15995
2016,39287,2.1,Manual, C Class,Diesel,15675
2016,40569,2.1,Manual, C Class,Diesel,16475
2016,37419,2,Manual, C Class,Petrol,15975
2016,34452,2.1,Automatic, C Class,Diesel,16475
2015,41567,2.1,Automatic, C Class,Hybrid,15975
2015,41130,2,Automatic, C Class,Hybrid,16495
2017,37778,2.1,Automatic, C Class,Diesel,17795
2017,44325,2.1,Automatic, C Class,Diesel,17875
2016,45000,2.1,Automatic, C Class,Diesel,14000
2017,75000,1.6,Automatic, C Class,Diesel,16500
2016,36000,2.1,Automatic, C Class,Diesel,21000
2015,64000,2.1,Automatic, C Class,Diesel,15500
2013,106000,2.1,Manual, C Class,Diesel,7250
2015,67150,2.1,Automatic, C Class,Diesel,13000
2012,43426,1.6,Automatic, C Class,Petrol,11000
2016,42622,2.1,Manual, C Class,Diesel,13300
2016,34903,2.1,Manual, C Class,Diesel,16000
2014,35345,2.1,Automatic, C Class,Diesel,12500
2015,23146,2,Manual, C Class,Petrol,14495
2017,16000,2.1,Automatic, C Class,Diesel,24500
2013,44000,6.2,Automatic, C Class,Petrol,23990
2015,30000,2.1,Automatic, C Class,Diesel,17250
2015,22000,1.6,Automatic, C Class,Petrol,14200
2017,19000,2,Automatic, C Class,Petrol,22950
2013,90000,2.1,Automatic, C Class,Diesel,10500
2014,32000,2.1,Automatic, C Class,Diesel,15650
2015,90000,2.1,Automatic, C Class,Diesel,14850
2017,37000,2.1,Automatic, C Class,Diesel,22400
2017,23000,2.1,Automatic, C Class,Diesel,19950
2014,78000,2.1,Automatic, C Class,Diesel,9990
2015,47000,2.1,Automatic, C Class,Diesel,11990
2017,18000,2.1,Automatic, C Class,Diesel,20990
2015,64000,2.1,Automatic, C Class,Diesel,14490
2013,50000,2.1,Automatic, C Class,Diesel,10490
2016,65000,2.1,Automatic, C Class,Diesel,15990
2016,38000,2.1,Automatic, C Class,Diesel,17850
2016,70000,2.1,Automatic, C Class,Diesel,16450
